id;name;weight;length;diet;insert_dt;modified_dt
1;compress South Georgia and the South Sandwich Islands;586;356;HERBIVORE;2019-07-03T19:05:25;2019-07-04T10:22:35
2;Industrial;423;772;HERBIVORE;2019-07-03T18:46:19;2019-07-04T09:34:14
3;monitor 1080p Checking Account;926;358;OMNIVORE;2019-07-03T23:23:01;2019-07-04T03:33:22
4;Ergonomic;370;310;HERBIVORE;2019-07-03T17:03:00;2019-07-04T00:52:23
5;embrace Developer;848;760;HERBIVORE;2019-07-04T01:47:50;2019-07-03T21:17:13
6;Small partnerships;201;31;HERBIVORE;2019-07-03T16:33:41;2019-07-04T10:59:56
7;Investment Account;539;755;HERBIVORE;2019-07-04T12:29:43;2019-07-03T23:58:12
8;Chilean Peso Unidades de fomento;880;929;OMNIVORE;2019-07-03T17:25:40;2019-07-04T03:23:10
9;mint green e-business EXE;324;807;HERBIVORE;2019-07-04T06:42:39;2019-07-03T16:34:45
10;contextually-based;647;427;OMNIVORE;2019-07-03T17:41:08;2019-07-04T07:01:41
