id;name;weight;length;diet;insert_dt;modified_dt
1;compress South Georgia and the South Sandwich Islands;586;356;CARNIVORE;2020-02-17T15:29:50;2020-02-18T06:47:00
2;Industrial;423;772;CARNIVORE;2020-02-17T15:10:44;2020-02-18T05:58:40
3;monitor 1080p Checking Account;926;358;OMNIVORE;2020-02-17T19:47:27;2020-02-17T23:57:47
4;Ergonomic;370;310;CARNIVORE;2020-02-17T13:27:25;2020-02-17T21:16:48
5;embrace Developer;848;760;CARNIVORE;2020-02-17T22:12:16;2020-02-17T17:41:39
6;Small partnerships;201;31;CARNIVORE;2020-02-17T12:58:06;2020-02-18T07:24:21
7;Investment Account;539;755;CARNIVORE;2020-02-18T08:54:08;2020-02-17T20:22:38
8;Chilean Peso Unidades de fomento;880;929;CARNIVORE;2020-02-17T13:50:06;2020-02-17T23:47:35
9;mint green e-business EXE;324;807;CARNIVORE;2020-02-18T03:07:04;2020-02-17T12:59:10
10;contextually-based;647;427;HERBIVORE;2020-02-17T14:05:33;2020-02-18T03:26:07
